"-- Please Select --","-- Por Favor Seleccione --"
"Columns","Columnas"
"Item Swatch Options","Opciones de ""Muestra del Elemento"""
"Radius","Radio"
"Set Radius of the swatch's corners. Example: 25px","Establecer el radio de las esquinas de la ""Muestra"". Ejemplo: 25px"
"Set Width of the swatch. Example: 25px","Establecer el ancho de la ""Muestra"". Ejemplo: 25px"
"Set Height of the swatch. Example: 25px","Establecer la altura de la ""Muestra"". Ejemplo: 25px"
"Set Font Size for swatch's text. Example: 10px ","Establecer el tamaño de fuente del texto de la ""Muestra"". Ejemplo: 10px"
"Swatch Align","Alinear ""Muestra"""
"Set swatch position.","Establecer la posición de la ""Muestra""."
"Apply the changes also to text swatches","Aplicar los cambios también a las ""Muestras de Texto"""
"Toolbar and Pagination Options","Opciones de ""Barra de Herramientas y Paginación"""
"Toolbar Background Color","Color de fondo de la ""Barra de Herramientas"""
"Select color for Toolbar Background.","Seleccionar el color de fondo de la ""Barra de Herramientas""."
"Toolbar Border Color","Color del borde de la ""Barra de Herramientas"""
"Select color for Toolbar Border.","Seleccionar el color del borde de la ""Barra de Herramientas""."
"Toolbar Padding","Espaciado de la ""Barra de Herramientas"""
"Set padding for Toolbar. Example: 10px","Establecer el espaciado de la ""Barra de Herramientas"". Ejemplo: 10px"
"Label Font Size","Tamaño de fuente de la ""Etiqueta"""
"Select font color for Toolbar's text. Example: #FFFFFF","Seleccionar el color de fuente del texto de la ""Barra de Herramientas"". Ejemplo: #FFFFFF"
"Grid / List Background Color","Color de fondo del icono de ""Cuadrícula / Lista"""
"Select Grid / List icon Background Color. Example: #FFFFFF","Seleccionar el color de fondo del icono de ""Cuadrícula / Lista"". Ejemplo: #FFFFFF"
"Grid / List Background Hover Color","Color de fondo del icono de ""Cuadrícula / Lista"" al pasar el ratón"
"Select Grid / List icon Background Hover Color. Example: #FFFFFF","Seleccionar el color de fondo del icono de ""Cuadrícula / Lista"" al pasar el ratón. Ejemplo: #FFFFFF"
"Grid / List Background Active Color","Color de fondo activo del icono de ""Cuadrícula / Lista"""
"Select Grid / List icon Background Active Color. Example: #FFFFFF","Seleccionar el color de fondo activo del icono de ""Cuadrícula / Lista"". Ejemplo: #FFFFFF"
"Grid / List Border Color","Color del borde del icono de ""Cuadrícula / Lista"""
"Set Grid / List icon Border Color. Example: #FFFFFF","Establecer el color del borde del icono de ""Cuadrícula / Lista"". Ejemplo: #FFFFFF"
"Grid / List Border Hover Color","Color del borde del icono de ""Cuadrícula / Lista"" al pasar el ratón"
"Select Grid / List icon Border Active Color. Example: #FFFFFF","Seleccionar el color del borde activo del icono de ""Cuadrícula / Lista"". Ejemplo: #FFFFFF"
"Grid / List Icon Size","Tamaño del icono de ""Cuadrícula / Lista"""
"Set Grid / List icon Size. Example: 18px","Establecer el tamaño del icono de ""Cuadrícula / Lista"". Ejemplo: 18px"
"Grid / List Icon Color","Color del icono de ""Cuadrícula / Lista"""
"Select Grid / List icon Color. Example: #BABABA","Seleccionar el color del icono de ""Cuadrícula / Lista"". Ejemplo: #BABABA"
"Grid / List Icon Hover Color","Color del icono de ""Cuadrícula / Lista"" al pasar el ratón"
"Select Grid / List icon Hover Color. Example: #2B2B2B ","Seleccionar el color del icono de ""Cuadrícula / Lista"" al pasar el ratón. Ejemplo: #2B2B2B"
"Grid / List Icon Active Color","Color activo del icono de ""Cuadrícula / Lista"""
"Select Grid / List icon Active Color.Example: #000000","Seleccionar el color activo del icono de ""Cuadrícula / Lista"". Ejemplo: #000000"
"Dropdown Background Color","Color de fondo del ""Desplegable"""
"Select Dropdown Background Color. Example: #FFFFFF","Seleccionar el color de fondo del ""Desplegable"". Ejemplo: #FFFFFF"
"Dropdown Background Focus Color","Color de fondo del ""Desplegable"" al enfocar"
"Select Dropdown Background Focus Color. Example: #FFFFFF","Seleccionar el color de fondo del ""Desplegable"" al enfocar. Ejemplo: #FFFFFF"
"Ancho del Borde del Campo","Ancho del borde del campo del ""Desplegable"""
"Set dropdown Field Border Width. Example: 0 0 1px 0","Establecer el ancho del borde del campo del ""Desplegable"". Ejemplo: 0 0 1px 0"
"Dropdown Border Color","Color del borde del ""Desplegable"""
"Select Dropdown Border Color. Example: #CCCCCC","Seleccionar el color del borde del ""Desplegable"". Ejemplo: #CCCCCC"
"Dropdown Border Focus Color","Color del borde del ""Desplegable"" al enfocar"
"Select Dropdown Border Focus Color. Example: #454545","Seleccionar el color del borde del ""Desplegable"" al enfocar. Ejemplo: #454545"
"Dropdown Border Radius","Radio del borde del ""Desplegable"""
"Set Dropdown Border Radius. Example: 0px","Establecer el radio del borde del ""Desplegable"". Ejemplo: 0px"
"Dropdown Font Size","Tamaño de fuente del ""Desplegable"""
"Set Dropdown Font Size. Example: 12px","Establecer el tamaño de fuente del ""Desplegable"". Ejemplo: 12px"
"Dropdown Font Color","Color de fuente del ""Desplegable"""
"Select Dropdown Font Color. Example: #454545","Seleccionar el color de fuente del ""Desplegable"". Ejemplo: #454545"
"Dropdown Arrows Color","Color de las flechas del ""Desplegable"""
"Select Dropdown Arrows Color. Example: #454545","Seleccionar el color de las flechas del ""Desplegable"". Ejemplo: #454545"
"Dropdown Arrows Hover Color","Color de las flechas del ""Desplegable"" al pasar el ratón"
"Select Dropdown Arrows Hover Color. Example: #454545","Seleccionar el color de las flechas del ""Desplegable"" al pasar el ratón. Ejemplo: #454545"
"Dropdown Option Font Color","Color de fuente de las opciones del ""Desplegable"""
"Select Option Font Color. Example: #454545","Seleccionar el color de fuente de las opciones del ""Desplegable"". Ejemplo: #454545"
"Direction Font Size","Tamaño de fuente de ""Dirección"""
"Set Direction Font size. Example: 10px","Establecer el tamaño de fuente de ""Dirección"". Ejemplo: 10px"
"Direction Font Color","Color de fuente de ""Dirección"""
"Direction Font Hover Color","Color de fuente de ""Dirección"" al pasar el ratón"
"Pagination Font Size","Tamaño de fuente de ""Paginación"""
"Pagination Font Color","Color de fuente de ""Paginación"""
"Select Pagination Font Color. Example: #454545","Seleccionar el color de fuente de ""Paginación"". Ejemplo: #454545"
"Pagination Font Hover Color","Color de fuente de ""Paginación"" al pasar el ratón"
"Select Pagination Font Hover Color. Example: #A8A8A8","Seleccionar el color de fuente de ""Paginación"" al pasar el ratón. Ejemplo: #A8A8A8"
"Pagination Font Active Color","Color de fuente activo de ""Paginación"""
"Select Pagination Font Active Color. Example: #000000","Seleccionar el color de fuente activo de ""Paginación"". Ejemplo: #000000"
"Pagination Background Color","Color de fondo de ""Paginación"""
"Pagination Background Hover Color","Color de fondo de ""Paginación"" al pasar el ratón"
"Pagination Background Active Color","Color de fondo activo de ""Paginación"""
"Pagination Border Color","Color del borde de ""Paginación"""
"Pagination Border Hover Color","Color del borde de ""Paginación"" al pasar el ratón"
"Pagination Border Active Color","Color del borde activo de ""Paginación"""
"Select Pagination Border Active Color. Example: #000000","Seleccionar el color del borde activo de ""Paginación"". Ejemplo: #000000"
"Pagination Border Radius","Radio del borde de ""Paginación"""
"Set Pagination Border Radius. Example: 30px","Establecer el radio del borde de ""Paginación"". Ejemplo: 30px"
"Pagination Next / Prev Font Size","Tamaño de fuente de ""Siguiente / Anterior"""
"Set Pagination Next / Prev Font Size. Example: 18px","Establecer el tamaño de fuente de ""Siguiente / Anterior"". Ejemplo: 18px"
"Pagination Next / Prev Font Color","Color de fuente de ""Siguiente / Anterior"""
"Select Pagination Next / Prev Font Color. Example: #000000","Seleccionar el color de fuente de ""Siguiente / Anterior"". Ejemplo: #000000"
"Pagination Next / Prev Font Hover Color","Color de fuente de ""Siguiente / Anterior"" al pasar el ratón"
"Select Pagination Next / Prev Font Hover Color. Example: #FFFFFF","Seleccionar el color de fuente de ""Siguiente / Anterior"" al pasar el ratón. Ejemplo: #FFFFFF"
"Pagination Next / Prev Background Color","Color de fondo de ""Siguiente / Anterior"""
"Select Pagination Next / Prev Background Color. Example: #FFFFFF","Seleccionar el color de fondo de ""Siguiente / Anterior"". Ejemplo: #FFFFFF"
"Pagination Next / Prev Background Hover Color","Color de fondo de ""Siguiente / Anterior"" al pasar el ratón"
"Select Pagination Next / Prev Background Hover Color. Example: #000000","Seleccionar el color de fondo de ""Siguiente / Anterior"" al pasar el ratón. Ejemplo: #000000"
"Pagination Next / Prev Border Color","Color del borde de ""Siguiente / Anterior"""
"Select Pagination Next / Prev Border Color. Example: #FFFFFF","Seleccionar el color del borde de ""Siguiente / Anterior"". Ejemplo: #FFFFFF"
"Pagination Next / Prev Border Hover Color","Color del borde de ""Siguiente / Anterior"" al pasar el ratón"
"Select Pagination Next / Prev Border Hover Color. Example: #000000","Seleccionar el color del borde de ""Siguiente / Anterior"" al pasar el ratón. Ejemplo: #000000"
"LayeredNavigation Swatch Options","Opciones de ""Swatch"" en la ""Navegación por Capas"""
"Set radius for swatches from Layered Navigation. Example: 25px","Establecer el radio de los ""Swatches"" en la ""Navegación por Capas"". Ejemplo: 25px"
"Set width for swatches from Layered Navigation. Example: 25px","Establecer el ancho de los ""Swatches"" en la ""Navegación por Capas"". Ejemplo: 25px"
"Set height for swatches from Layered Navigation. Example: 25px","Establecer la altura de los ""Swatches"" en la ""Navegación por Capas"". Ejemplo: 25px"
"Set fonts size for text in swatches from Layered Navigation. Example: 12px","Establecer el tamaño de fuente del texto en los ""Swatches"" de la ""Navegación por Capas"". Ejemplo: 12px"
"Select swatch position in Layered Navigation.","Seleccionar la posición de los ""Swatches"" en la ""Navegación por Capas"""
"Description Options","Opciones de ""Descripción"""
"Show More/Less","Mostrar ""Más/Menos"""
"Enable show more/less trigger for category description, useful for long paragraphs.","Habilitar el disparador de ""Más/Menos"" para la descripción de la categoría, útil para párrafos largos."
"Layered Navigation Options","Opciones de ""Navegación por Capas"""
"Filter Option Bullet","""Bala"" de opción de filtro"
"Enable / Disable the bullet design for Layered Navigation filters.","Habilitar / Deshabilitar el diseño de ""Bala"" para los filtros de ""Navegación por Capas""."
"Bullets Width","Ancho de las ""Balas"""
"Set Width of the bullets. Example: 10px.","Establecer el ancho de las ""Balas"". Ejemplo: 10px."
"Bullets Height","Altura de las ""Balas"""
"Set Height of the bullets. Example: 10px.","Establecer la altura de las ""Balas"". Ejemplo: 10px."
"Bullets Border","Borde de las ""Balas"""
"Set Border of the bullets. Example: 1px solid #999.","Establecer el borde de las ""Balas"". Ejemplo: 1px solid #999."
"Bullets Border Radius","Radio del borde de las ""Balas"""
"Set Border Radius of the bullets. Example: 15px.","Establecer el radio del borde de las ""Balas"". Ejemplo: 15px."
"Product View Version","Versión de ""Vista de Producto"""
"Please select a store view to be able to save / preload different setups for each version. ","Seleccione una vista de tienda para poder guardar / precargar diferentes configuraciones para cada versión."
"
                            Note: Version 2 and Version 4 can display a maximum of 3 images regardless of the number of images uploaded on the product.","""Nota:"" Las versiones 2 y 4 pueden mostrar un máximo de 3 imágenes independientemente del número de imágenes cargadas en el producto."
"General settings","Configuración General"
"Image area width","Ancho del área de la ""Imagen"""
"Set width for image section [ in % ], For example you can set it to 60% of the width of the website.","Establecer el ancho de la sección de ""Imagen"" [en %]. Por ejemplo, puede establecerlo en un 60% del ancho del sitio web."
"Product info area width","Ancho del área de ""Información del Producto"""
"Set width for product info area [ in %], for example you can set it to 40% of the width of the website","Establecer el ancho del área de ""Información del Producto"" [en %]. Por ejemplo, puede establecerlo en un 40% del ancho del sitio web."
"Move Description and Tabs under info area","Mover ""Descripción"" y ""Pestañas"" debajo del área de ""Información"""
"Select Yes to move Description tab, More information tab and Reviews tab on the right section/side.","Seleccione ""Sí"" para mover las pestañas de ""Descripción"", ""Más información"" y ""Reseñas"" a la sección derecha."
"Remove wishlist","Eliminar ""Lista de Deseos"""
"Select Yes to remove wishlist button from the product page.","Seleccione ""Sí"" para eliminar el botón de ""Lista de Deseos"" de la página del producto."
"Remove compare","Eliminar ""Comparar"""
"Select Yes to remove compare button from the product page.","Seleccione ""Sí"" para eliminar el botón de ""Comparar"" de la página del producto."
"Remove email","Eliminar ""Correo Electrónico"""
"Remove qty box","Eliminar ""Caja de Cantidad"""
"Select Yes to remove quantity box from the product page.","Seleccione ""Sí"" para eliminar la ""Caja de Cantidad"" de la página del producto."
"Remove sku","Eliminar ""SKU"""
"Select Yes to remove SKU info from product page.","Seleccione ""Sí"" para eliminar la información de ""SKU"" de la página del producto."
"Remove stock availability","Eliminar ""Disponibilidad de Stock"""
"Select Yes to remove stock availability info from product page.","Seleccione ""Sí"" para eliminar la información de ""Disponibilidad de Stock"" de la página del producto."
"Select Yes to remove Breadcrumbs section from product page.","Seleccione ""Sí"" para eliminar la sección de ""Migajas de Pan"" de la página del producto."
"Information Layout on Desktop","Diseño de ""Información"" en ""Escritorio"""
"Select information layout for desktop view. Show information as tabs, accordion or list.","Seleccione el diseño de ""Información"" para la vista de ""Escritorio"". Mostrar información como pestañas, acordeón o lista."
"Tabs Version","Versión de ""Pestañas"""
"Version 1 - aligned left with border","Versión 1 - alineada a la izquierda con borde"
"Version 2 - centered without border","Versión 2 - centrada sin borde"
"Version 3 - centered sticky","Versión 3 - centrada fija"
"Tab Version - Select Tab Version. You can also control Tab Padding from the Product Page CSS Options","Versión de ""Pestaña"" - Seleccione la versión de ""Pestaña"". También puede controlar el relleno de pestañas desde las opciones de ""CSS de la Página del Producto""."
"Quantity Input Type","Tipo de ""Entrada de Cantidad"""
"Default Input","Entrada por Defecto"
"Plus Minus","""Más"" / ""Menos"""
"Select Input type for quantity field.","Seleccione el tipo de entrada para el campo de ""Cantidad""."
"Quantity Dropdown Max Value","Valor Máximo del Desplegable de ""Cantidad"""
"Insert max value for quantity field when is set in dropdown. Example: 10","Ingrese el valor máximo para el campo de ""Cantidad"" cuando se establece en desplegable. Ejemplo: 10"
"Add To Cart Button Position","Posición del Botón de ""Añadir al Carrito"""
"On the same line with QTY selector/input.","En la misma línea que el selector/entrada de ""Cantidad""."
"Under QTY selector/input","Debajo del selector/entrada de ""Cantidad"""
"Select Yes to display the tooltip on hover over swatches on product page.
 						For tooltip to be displayed make sure to have the Display Swatch Tooltip enabled on Category Page settings also.","Seleccione ""Sí"" para mostrar el ""Tooltip"" al pasar el ratón sobre los ""Swatches"" en la página del producto. Para que el ""Tooltip"" se muestre, asegúrese de haber habilitado ""Mostrar Tooltip de Swatch"" en la configuración de la página de categoría."
"Main Image Width","Ancho de la ""Imagen Principal"""
"Insert width for main image [in px]. Example: 564","Ingrese el ancho de la ""Imagen Principal"" [en px]. Ejemplo: 564"
"Main Image Height","Altura de la ""Imagen Principal"""
"Insert height for main image [in px]. Example: 700","Ingrese la altura de la ""Imagen Principal"" [en px]. Ejemplo: 700"
"Thumb Image Width","Ancho de la ""Miniatura"""
"Insert gallery thumb image width [in px]. Example: 80","Ingrese el ancho de la imagen de ""Miniatura"" [en px]. Ejemplo: 80"
"Thumb Image Height","Altura de la ""Miniatura"""
"Insert gallery thumb image height [in px]. Example: 80","Ingrese la altura de la imagen de ""Miniatura"" [en px]. Ejemplo: 80"
"Gallery strategy for Configurable products","Estrategia de ""Galería"" para productos configurables"
"Prepend","Preceder"
"Gallery navigation style","Estilo de ""Navegación en Galería"""
"Thumbs","Miniaturas"
"Dots","Puntos"
"Gallery navigation loop","Bucle de ""Navegación en Galería"""
"Enable/Disable loop for image gallery navigation. Select True to enable loop.","Habilitar/Deshabilitar el bucle de ""Navegación en Galería"". Seleccione ""True"" para habilitar el bucle."
"Turn on/off keyboard arrows navigation","Activar/Desactivar la ""Navegación con Flechas del Teclado"""
"True","Verdadero"
"False","Falso"
"Select True to enable keyboard arrows navigation for image gallery on product page.","Seleccione ""True"" para habilitar la ""Navegación con Flechas del Teclado"" para la galería de imágenes en la página del producto."
"Gallery Fullscreen","Galería en Pantalla Completa"
"Enable Fulscreen Image Zoom","Habilitar Zoom de Imagen en Pantalla Completa"
"Set True to enable the Fullscreen Image Zoom functionality, when clicked on product page image.","Seleccione True para habilitar la funcionalidad de Zoom de Imagen en Pantalla Completa cuando se hace clic en la imagen de la página del producto."
"Fullscreen navigation style","Estilo de navegación en pantalla completa"
"Fullscreen navigation loop","Bucle de navegación en pantalla completa"
"Enable/Disable loop for fullscreen image gallery navigation. Select True to enable loop.","Habilitar/Deshabilitar el bucle de navegación en pantalla completa. Seleccione True para habilitar el bucle."
"Turn on/off arrows on the sides preview","Activar/Desactivar flechas en los laterales en la vista previa"
"Display/Hide arrows on the side of image when in fullscreen. Select True to display arrows.","Mostrar/Ocultar flechas en los laterales cuando esté en pantalla completa. Seleccione True para mostrar las flechas."
"Display alt text as image title","Mostrar texto alternativo como título de la imagen"
"Display/Hide Alt text  of image when in fullscreen. Make sure you have filed in Alt Text for your product images.","Mostrar/Ocultar el texto alternativo de la imagen cuando esté en pantalla completa. Asegúrese de haber completado el texto alternativo para sus imágenes de producto."
"Sliding direction of thumbnails in full screen","Dirección de deslizamiento de las miniaturas en pantalla completa"
"Select direction of thumbnails when in fullscreen. Select Horizontal to display thumbnails below main image,
 						and Vertical to display thumbnails on left side of main image.","Seleccione la dirección de deslizamiento de las miniaturas en pantalla completa. Seleccione Horizontal para mostrar las miniaturas debajo de la imagen principal o Vertical para mostrarlas a la izquierda de la imagen principal."
"Sets transition effect for slides changing","Establecer el efecto de transición para el cambio de diapositivas"
"Crossfade","Fundido Cruzado"
"Dissolve","Disolver"
"Select the transition effect for images in fullscreen.","Seleccione el efecto de transición para las imágenes en pantalla completa."
"Sets transition duration in ms","Establecer la duración de la transición en ms"
"Insert transition duration [in ms]. Example: 500","Inserte la duración de la transición [en ms]. Ejemplo: 500"
"Magnifier Options","Opciones del Lupa"
"Enable Magnifier","Habilitar Lupa"
"Enable/Disable Magnifier. Select the action that activates magnifier from below.","Habilitar/Deshabilitar la Lupa. Seleccione la acción que activa la lupa a continuación."
"Swatch Options","Opciones de Swatch"
"Set Radius of the swatches corners on product page. Example: 25px","Establezca el radio de las esquinas de los Swatches en la página del producto. Ejemplo: 25px"
"Set Width of the swatches on product page. Example: 30px","Establezca el ancho de los Swatches en la página del producto. Ejemplo: 30px"
"Set Height of the swatches on product page. Example: 30px","Establezca la altura de los Swatches en la página del producto. Ejemplo: 30px"
"Set Line height for text on swatches on product page. Example: 29px","Establezca la altura de línea para el texto en los Swatches en la página del producto. Ejemplo: 29px"
"Set Font Size of text on swatches on product page. Example: 10px","Establezca el tamaño de fuente del texto en los Swatches en la página del producto. Ejemplo: 10px"
"Auto select swatches","Selección automática de Swatches"
"Default (No Preselect)","Predeterminado (Sin Preselección)"
"If only one option available","Si solo hay una opción disponible"
"First Swatch Always","Siempre el primer Swatch"
"Other CSS Options","Otras opciones de CSS"
"Thumbnail Image Border","Borde de la Miniatura"
"Select color for Thumbnail images border. Example: #CCCCCC","Seleccione el color del borde de las Miniaturas. Ejemplo: #CCCCCC"
"Tab Active Background","Fondo de la Pestaña Activa"
"Select color for background of active Tab. Example: #FFFFFF","Seleccione el color de fondo para la Pestaña Activa. Ejemplo: #FFFFFF"
"Tab Background","Fondo de las Pestañas"
"Select color for background of Tabs. Example: #FFFFFF","Seleccione el color de fondo para las Pestañas. Ejemplo: #FFFFFF"
"Tab Text Active Color","Color del texto en la Pestaña Activa"
"Select color of text from Active tab. Example: #000000","Seleccione el color del texto en la Pestaña Activa. Ejemplo: #000000"
"Tab Text Color","Color del texto en las Pestañas"
"Select color for text of Inactive tab. Example: #000000","Seleccione el color del texto en las Pestañas Inactivas. Ejemplo: #000000"
"Tab Container Padding","Relleno del contenedor de las Pestañas"
"Insert padding for tab text container. Example: 25px 50px 25px 50px (top, right, bottom, left)","Inserte el relleno para el contenedor de texto de las Pestañas. Ejemplo: 25px 50px 25px 50px (arriba, derecha, abajo, izquierda)"
"Select text case of product names on the product page.","Seleccione el formato del texto para los nombres de productos en la página del producto."
"None","Ninguno"
"Capitalize","Capitalizar"
"Uppercase","Mayúsculas"
"Lowercase","Minúsculas"
"Initial","Inicial"
"Inherit","Heredar"
"Size Chart/Custom Block","Tabla de Tallas / Bloque Personalizado"
"Enable Size Chart/Custom Block","Habilitar Tabla de Tallas / Bloque Personalizado"
"Visitor Counter","Contador de Visitantes"
"Enable Visitor Counter","Habilitar Contador de Visitantes"
"Previous / Next products","Productos Anterior / Siguiente"
"Sale Message","Mensaje de Oferta"
"Show Sale Message","Mostrar Mensaje de Oferta"
"Sticky Add To Cart","Añadir al Carrito Fijo"
"Enable On Desktop","Habilitar en Escritorio"
"Enable On Mobile","Habilitar en Móvil"
"Speed Optimization General Settings","Configuración General de Optimización de Velocidad"
"RequireJs Bundle Generation","Generación de Bundle RequireJs"
"Collect JS in Frontend","Recopilar JS en el Frontend"
"If set to Yes, you can start collecting your JS’s on the frontend. ","Si se establece en Sí, puede comenzar a recopilar sus archivos JS en el frontend."
"Steps to collect your JS for bundles:","Pasos para recopilar sus JS para los bundles:"
"Set your store in Developer mode. Can be done with "php/bin magento deploy:mode:set developer" command.","Configure su tienda en modo Desarrollador. Esto se puede hacer con el comando "php/bin magento deploy:mode:set developer"."
"enable Collect JS in Frontend, set to Yes","habilite Recopilar JS en el Frontend, configúrelo en Sí"
"clear Magento Caches","limpie los Cachés de Magento"
"go to the frontend and click on the Start button then you can start browsing your store. Make sure you open all pages which you want to be optimized (homepage, category page, product page, and even cart and checkout pages).","vaya al frontend y haga clic en el botón Iniciar, luego puede comenzar a navegar por su tienda. Asegúrese de abrir todas las páginas que desea optimizar (página de inicio, página de categoría, página de producto e incluso páginas de carrito y checkout)."
"once the browsing is complete click on the Stop button","una vez que termine la navegación, haga clic en el botón Detener"
"Click on Download button to receive your custom bundle file","Haga clic en el botón Descargar para recibir su archivo de bundle personalizado"
"go to admin and set Collect JS in Frontend to No","vaya al administrador y configure Recopilar JS en el Frontend en No"
"use the downloaded bundle as explained in the ","utilice el bundle descargado como se explica en el "
"Optimization Method","Método de Optimización"
"Js Optimization","Optimización de JS"
"Enable Advanced Bundling","Habilitar Bundle Avanzado"
"Merge JavaScript Files - Magento Core","Combinar Archivos JavaScript - Núcleo de Magento"
" This is default Magento Core Option from Stores > Configuration > Advanced > Developer ","Esta es la opción predeterminada del Núcleo de Magento en Tiendas > Configuración > Avanzado > Desarrollador"
"Note: When changing this setting you will need to redeploy the content.","Nota: Al cambiar esta configuración, deberá volver a desplegar el contenido."
"Enable JavaScript Bundling - Magento Core","Habilitar Bundle de JavaScript - Núcleo de Magento"
" This is default Magento Core Option from Stores > Configuration > Advanced > Developer ","Esta es la opción predeterminada del Núcleo de Magento en Tiendas > Configuración > Avanzado > Desarrollador"
"Note: When changing this setting you will need to redeploy the content.","Nota: Al cambiar esta configuración, deberá volver a desplegar el contenido."
"Minify JavaScript Files - Magento Core","Minificar Archivos JavaScript - Núcleo de Magento"
" This is default Magento Core Option from Stores > Configuration > Advanced > Developer ","Esta es la opción predeterminada del Núcleo de Magento en Tiendas > Configuración > Avanzado > Desarrollador"
"Note: When changing this setting you will need to redeploy the content.","Nota: Al cambiar esta configuración, deberá volver a desplegar el contenido."
"Move Javascript to the bottom of the page","Mover JavaScript al final de la página"
"Css Optimization","Optimización de CSS"
"Merge CSS Files - Magento Core","Combinar Archivos CSS - Núcleo de Magento"
" This is default Magento Core Option from Stores > Configuration > Advanced > Developer ","Esta es la opción predeterminada del Núcleo de Magento en Tiendas > Configuración > Avanzado > Desarrollador"
"Note: When changing this setting you will need to redeploy the content.","Nota: Al cambiar esta configuración, deberá volver a desplegar el contenido."
"Minify CSS Files - Magento Core","Minificar Archivos CSS - Núcleo de Magento"
" This is default Magento Core Option from Stores > Configuration > Advanced > Developer ","Esta es la opción predeterminada del Núcleo de Magento en Tiendas > Configuración > Avanzado > Desarrollador"
"Note: When changing this setting you will need to redeploy the content.","Nota: Al cambiar esta configuración, deberá volver a desplegar el contenido."
"Enable Css Preload","Habilitar Preload de CSS"
"When CSS Preload is enabled, stylesheets included in head will be downloaded asynchronously to prevent them from blocking page render.","Cuando se habilita el Preload de CSS, las hojas de estilo incluidas en el head se descargarán de forma asíncrona para evitar que bloqueen el renderizado de la página."
"Remove print.css from loading","Eliminar print.css del cargado"
"Html Optimization","Optimización de HTML"
"Minify Html - Magento Core","Minificar HTML - Núcleo de Magento"
" This is default Magento Core Option from Stores > Configuration > Advanced > Developer ","Esta es la opción predeterminada del Núcleo de Magento en Tiendas > Configuración > Avanzado > Desarrollador"
"Enable FullPageScroll","Habilitar FullPageScroll"
"Long Description","Descripción larga"
"In case price is listed with Tax and without Tax select which price should be used.","En caso de que el precio esté listado con impuestos y sin impuestos, seleccione qué precio debe usarse."
"Select attribute used for product condition ( Attribute should have the following options: DamagedCondition / UsedCondition / NewCondition / RefurbishedCondition according to ","Seleccione el atributo utilizado para la condición del producto (El atributo debe tener las siguientes opciones: DamagedCondition / UsedCondition / NewCondition / RefurbishedCondition de acuerdo a "
"Brand","Marca"
"Review Markup Format","Formato de marcado de reseña"
"Agregate Ratings","Calificaciones agregadas"
"Agregate Ratings + Reviews","Calificaciones agregadas + Reseñas"
"Number of reviews","Número de reseñas"
"Numbers of reviews to be displayed.","Número de reseñas a mostrar."
"Use Breadcrumb Snippet","Usar fragmento de Breadcrumb"
"A breadcrumb trail on a page indicates the page's position in the site hierarchy. A user can navigate all the way up in the site hierarchy, one level at a time, by starting from the last breadcrumb in the breadcrumb trail.","Una ruta de breadcrumb en una página indica la posición de la página en la jerarquía del sitio. Un usuario puede navegar hacia arriba en la jerarquía del sitio, un nivel a la vez, comenzando desde el último breadcrumb en la ruta de breadcrumbs."
"Advanced Breadcrumbs functionality","Funcionalidad avanzada de Breadcrumbs"
"Default Magento behavior","Comportamiento predeterminado de Magento"
"Always process the full breadcrumbs","Procesar siempre todos los breadcrumbs"
"Set Always process the full breadcrumbs to constantly display the full breadcrumbs paths to products even when Magento is configured to use short urls (without category url keys in it).","Configure Procesar siempre todos los breadcrumbs para mostrar constantemente todas las rutas de breadcrumbs a los productos, incluso cuando Magento esté configurado para usar URLs cortas (sin claves de URL de categoría en ellas)."
"Include Simple Product Price in Schema","Incluir el precio del producto simple en el esquema"
"Choose whether or not to send the price data for each associated Simple Product on Configurable Product pages.","Elija si desea o no enviar los datos de precio para cada Producto Simple asociado en las páginas de Productos Configurables."
"Product Image Type For Rich Snippet","Tipo de imagen del producto para Rich Snippet"
"Product Image Width (In Px) For Rich Snippet","Ancho de la imagen del producto (En px) para Rich Snippet"
"Product Image Height (In Px) For Rich Snippet","Altura de la imagen del producto (En px) para Rich Snippet"
"Sitelinks Searchbox","Caja de búsqueda de Sitelinks"
"Google Search can expose a search box scoped to your website when it appears as a search result. This search box is powered by Google Search. However, if you wish to power this search box with your own search engine, or if you want search results also to include an associated mobile app, you can do so using structured data embedded on your website.","Google Search puede mostrar una caja de búsqueda delimitada a su sitio web cuando aparece como resultado de búsqueda. Esta caja de búsqueda está impulsada por Google Search. Sin embargo, si desea impulsar esta caja de búsqueda con su propio motor de búsqueda, o si desea que los resultados de búsqueda también incluyan una aplicación móvil asociada, puede hacerlo utilizando datos estructurados incrustados en su sitio web."
"Enable Searchbox","Habilitar caja de búsqueda"
"Rich Snippets & Cards - Logo","Rich Snippets y Tarjetas - Logo"
"Specify the image Google Search uses for your organization's logo in Search results and in the Knowledge Graph. Google Search uses the markup in the use case example to recognize the image to use as the organization’s logo. This ensures that, when possible, the image appears in search results about the company. Markup like this is a strong signal to Google Search algorithms to show this image in Knowledge Graph displays.","Especifique la imagen que Google Search utiliza para el logo de su organización en los resultados de búsqueda y en el Knowledge Graph. Google Search utiliza el marcado en el ejemplo de caso de uso para reconocer la imagen a utilizar como logo de la organización. Esto asegura que, cuando sea posible, la imagen aparezca en los resultados de búsqueda sobre la empresa. Un marcado como este es una señal fuerte para los algoritmos de Google Search para mostrar esta imagen en las visualizaciones del Knowledge Graph."
